"Timestamp","Category","Name","Message"
"8/26/14 1:58:54 PM","Membership","Alexander-Bg-Gg","Accepted Blazgunner's invitation to join the guild. Welcome!"
"8/26/14 1:50:16 PM","Membership","Lundgrom","Accepted Blazgunner's invitation to join the guild. Welcome!"
"8/24/14 8:13:43 PM","Membership","Purepwn","Promoted Thehorrorguy-Gamer to Member."
"8/24/14 8:13:27 PM","Membership","Purepwn","Promoted Xaati to Member."
"8/24/14 8:13:22 PM","Membership","Purepwn","Promoted Satchie to Member."
"8/24/14 8:13:09 PM","Membership","Purepwn","Promoted Corvah to Member."
"8/24/14 6:33:27 PM","Membership","Kaiser-Leospike","Left the guild. Farewell!"
"8/23/14 1:49:38 PM","Treasury","Wilful-Carnage","Added 2,000 crowns to the guild treasury."
"8/22/14 5:08:57 AM","Storage","Blazgunner","Added Sentenza Recipe to officer storage."
"8/21/14 12:35:19 PM","Upkeep","","Upkeep paid! 30,650 crowns removed from the guild treasury."
"8/21/14 4:34:45 AM","Membership","Dipsomania","Accepted Blazgunner's invitation to join the guild. Welcome!"
"8/19/14 5:00:05 PM","Treasury","Theugly","Added 5,000 crowns to the guild treasury."
"8/19/14 3:20:58 AM","Membership","Crazyachiever","Left the guild. Farewell!"
"8/19/14 12:56:28 AM","Membership","Crazyachiever","Accepted Medium-Moose's invitation to join the guild. Welcome!"
"8/18/14 11:36:30 PM","Membership","Mynameis-Seven","Promoted Citizen-Reign to Member."
"8/18/14 7:00:59 PM","Membership","Crazyachiever","Left the guild. Farewell!"
"8/18/14 5:19:17 PM","Membership","Crazyachiever","Accepted Medium-Moose's invitation to join the guild. Welcome!"
"8/18/14 5:09:50 PM","Membership","Crazyachiever","Left the guild. Farewell!"
"8/18/14 5:01:17 PM","Membership","Medium-Moose","Removed Siliuser from the guild."
"8/18/14 5:00:52 PM","Membership","Medium-Moose","Removed Alpha-Gunslinger from the guild."
"8/18/14 5:00:23 PM","Membership","Medium-Moose","Removed Banjolin from the guild."
"8/18/14 5:00:06 PM","Membership","Medium-Moose","Removed Camdenanderson from the guild."
"8/18/14 4:59:58 PM","Membership","Medium-Moose","Removed Chili-Ranger from the guild."
"8/18/14 4:59:45 PM","Membership","Medium-Moose","Removed Kazunou from the guild."
"8/18/14 4:59:05 PM","Membership","Medium-Moose","Removed Kull-Smasher from the guild."
"8/18/14 4:58:53 PM","Membership","Medium-Moose","Removed Noble-Ten from the guild."
"8/18/14 4:58:00 PM","Membership","Medium-Moose","Removed Outlaw-Knight from the guild."
"8/18/14 4:57:46 PM","Membership","Medium-Moose","Removed Purple-Underdog from the guild."
"8/18/14 4:57:24 PM","Membership","Medium-Moose","Removed Shoot-Bot from the guild."
"8/18/14 4:57:14 PM","Membership","Medium-Moose","Removed Stargazer-Shadow from the guild."
"8/18/14 4:56:23 PM","Membership","Medium-Moose","Removed Sweetrr from the guild."
"8/18/14 4:56:06 PM","Membership","Medium-Moose","Removed Verdance from the guild."
"8/18/14 4:55:22 PM","Membership","Medium-Moose","Removed Zantok from the guild."
"8/18/14 9:26:51 AM","Membership","Flyingacerace","Left the guild. Farewell!"
"8/17/14 6:46:12 PM","Membership","Flyingacerace","Accepted Dumb-Spiral-Knight's invitation to join the guild. Welcome!"
"8/17/14 6:12:19 PM","Membership","Xaati","Accepted Medium-Moose's invitation to join the guild. Welcome!"
