"Timestamp","Category","Name","Message"
"12/23/15 2:21:20 PM","Membership","Mynameis-Seven","Promoted Aeskau to Veteran."
"12/23/15 2:21:17 PM","Membership","Mynameis-Seven","Promoted Aeskau to Member."
"12/23/15 2:14:11 PM","Membership","Aeskau","Accepted Mynameis-Seven's invitation to join the guild. Welcome!"
"12/22/15 9:10:33 PM","Membership","Aeskau","Left the guild. Farewell!"
"12/22/15 5:28:25 PM","Guild Hall","Purepwn","Changed the MOTD: 'Even the strongest blizzards start with a single snowflake - Sara Raasch - Visit our site at: (www.logunners.shivtr.com)'."
"12/22/15 3:55:12 PM","Membership","Dlprice","Left the guild. Farewell!"
"12/22/15 9:38:36 AM","Membership","Skorchd","Left the guild. Farewell!"
"12/20/15 8:49:16 AM","Guild Hall","Purepwn","Changed the MOTD: 'Thinking something does not make it true, wanting something does not make it real - OFC - Visit our site at: (www.logunners.shivtr.com)'."
"12/19/15 7:10:19 PM","Treasury","Frosthex","Added 2,000 crowns to the guild treasury."
"12/18/15 12:10:59 AM","Membership","Spire-Knight","Left the guild. Farewell!"
"12/17/15 12:35:19 PM","Upkeep","","Upkeep paid! 30,650 crowns removed from the guild treasury."
"12/17/15 12:11:31 PM","Treasury","Hilman-Hx","Added 2,000 crowns to the guild treasury."
"12/17/15 10:19:48 AM","Guild Hall","Purepwn","Changed the MOTD: 'A diplomat is one who thinks twice before saying nothing - Anonymous - Visit our site at: (www.logunners.shivtr.com)'."
"12/15/15 1:17:55 PM","Guild Hall","Purepwn","Changed the MOTD: 'If at first you don't succeed then skydiving definintely isn't for you - Steven Wright - Visit our site at: (www.logunners.shivtr.com)'."
"12/14/15 12:19:42 PM","Guild Hall","Purepwn","Changed the MOTD: 'Born just in time to browse dank memes - Gnome Child - Visit our site at: (www.logunners.shivtr.com)'."
